RUN	com.jeppesen.ncs.PerformanceSimulation	performancesimulation	1730124511514	 	3.0.2
USER	Load - Runway	324	START	1730124516946	1730124516946
USER	Load - Runway	325	START	1730124516951	1730124516951
USER	Load - Runway	326	START	1730124516996	1730124516996
USER	Load - Runway	327	START	1730124517004	1730124517004
USER	Load - Runway	328	START	1730124517010	1730124517010
USER	Load - Runway	329	START	1730124517015	1730124517015
USER	Load - Runway	330	START	1730124517021	1730124517021
USER	Load - Runway	331	START	1730124517026	1730124517026
USER	Load - Runway	332	START	1730124517044	1730124517044
USER	Load - Runway	333	START	1730124517050	1730124517050
USER	Load - Runway	334	START	1730124517057	1730124517057
USER	Load - Runway	335	START	1730124517074	1730124517074
USER	Load - Runway	336	START	1730124517081	1730124517081
USER	Load - Runway	337	START	1730124517086	1730124517086
USER	Load - Runway	338	START	1730124517100	1730124517100
USER	Load - Runway	339	START	1730124517104	1730124517104
USER	Load - Runway	340	START	1730124517110	1730124517110
USER	Load - Runway	341	START	1730124517115	1730124517115
USER	Load - Runway	342	START	1730124517124	1730124517124
USER	Load - Runway	343	START	1730124517131	1730124517131
USER	Load - Runway	344	START	1730124517136	1730124517136
USER	Load - Runway	345	START	1730124517150	1730124517150
USER	Load - Runway	346	START	1730124517155	1730124517155
USER	Load - Runway	347	START	1730124517184	1730124517184
USER	Load - Runway	348	START	1730124517199	1730124517199
USER	Load - Runway	349	START	1730124517205	1730124517205
USER	Load - Runway	350	START	1730124517298	1730124517298
USER	Load - Runway	351	START	1730124517304	1730124517304
USER	Load - Runway	352	START	1730124517357	1730124517357
USER	Load - Runway	353	START	1730124517364	1730124517364
USER	Load - Runway	354	START	1730124517372	1730124517372
USER	Load - Runway	355	START	1730124517377	1730124517377
USER	Load - Runway	356	START	1730124517383	1730124517383
USER	Load - Runway	357	START	1730124517387	1730124517387
USER	Load - Runway	358	START	1730124517664	1730124517664
USER	Load - Runway	359	START	1730124517696	1730124517696
USER	Load - Runway	360	START	1730124517701	1730124517701
USER	Load - Runway	361	START	1730124517710	1730124517710
USER	Load - Runway	362	START	1730124517715	1730124517715
USER	Load - Runway	363	START	1730124517720	1730124517720
USER	Load - Runway	364	START	1730124517725	1730124517725
USER	Load - Runway	365	START	1730124517809	1730124517809
USER	Load - Runway	366	START	1730124517814	1730124517814
USER	Load - Runway	367	START	1730124517819	1730124517819
USER	Load - Runway	368	START	1730124517836	1730124517836
USER	Load - Runway	369	START	1730124517841	1730124517841
USER	Load - Runway	370	START	1730124517846	1730124517846
USER	Load - Runway	371	START	1730124517853	1730124517853
USER	Load - Runway	372	START	1730124517857	1730124517857
USER	Load - Runway	373	START	1730124517862	1730124517862
USER	Load - Runway	374	START	1730124517867	1730124517867
USER	Load - Runway	375	START	1730124517872	1730124517872
USER	Load - Runway	376	START	1730124517877	1730124517877
USER	Load - Runway	377	START	1730124517882	1730124517882
USER	Load - Runway	378	START	1730124517889	1730124517889
USER	Load - Runway	379	START	1730124517903	1730124517903
USER	Load - Runway	380	START	1730124517908	1730124517908
USER	Load - Runway	381	START	1730124517913	1730124517913
USER	Load - Runway	382	START	1730124517917	1730124517917
USER	Load - Runway	383	START	1730124517922	1730124517922
USER	Load - Runway	384	START	1730124517926	1730124517926
USER	Load - Runway	385	START	1730124517931	1730124517931
USER	Load - Runway	386	START	1730124517936	1730124517936
USER	Load - Runway	387	START	1730124517940	1730124517940
USER	Load - Runway	388	START	1730124517945	1730124517945
USER	Load - Runway	389	START	1730124517957	1730124517957
USER	Load - Runway	390	START	1730124517962	1730124517962
USER	Load - Runway	391	START	1730124517966	1730124517966
USER	Load - Runway	392	START	1730124517971	1730124517971
USER	Load - Runway	393	START	1730124517975	1730124517975
USER	Load - Runway	394	START	1730124517980	1730124517980
USER	Load - Runway	395	START	1730124517984	1730124517984
USER	Load - Runway	396	START	1730124517989	1730124517989
USER	Load - Runway	397	START	1730124517995	1730124517995
USER	Load - Runway	398	START	1730124518000	1730124518000
USER	Load - Runway	399	START	1730124518012	1730124518012
USER	Load - Runway	400	START	1730124518016	1730124518016
USER	Load - Runway	401	START	1730124518021	1730124518021
USER	Load - Runway	402	START	1730124518025	1730124518025
USER	Load - Runway	403	START	1730124518030	1730124518030
USER	Load - Runway	404	START	1730124518035	1730124518035
USER	Load - Runway	405	START	1730124518039	1730124518039
USER	Load - Runway	406	START	1730124518043	1730124518043
USER	Load - Runway	407	START	1730124518047	1730124518047
USER	Load - Runway	408	START	1730124518053	1730124518053
USER	Load - Runway	409	START	1730124518065	1730124518065
USER	Load - Runway	410	START	1730124518070	1730124518070
USER	Load - Runway	411	START	1730124518074	1730124518074
USER	Load - Runway	412	START	1730124518078	1730124518078
USER	Load - Runway	413	START	1730124518083	1730124518083
USER	Load - Runway	414	START	1730124518087	1730124518087
USER	Load - Runway	415	START	1730124518091	1730124518091
USER	Load - Runway	416	START	1730124518096	1730124518096
USER	Load - Runway	417	START	1730124518100	1730124518100
USER	Load - Runway	418	START	1730124518105	1730124518105
USER	Load - Runway	419	START	1730124518109	1730124518109
USER	Load - Runway	420	START	1730124518120	1730124518120
USER	Load - Runway	421	START	1730124518124	1730124518124
USER	Load - Runway	422	START	1730124518129	1730124518129
USER	Load - Runway	423	START	1730124518133	1730124518133
USER	Load - Runway	424	START	1730124518137	1730124518137
USER	Load - Runway	425	START	1730124518142	1730124518142
USER	Load - Runway	426	START	1730124518147	1730124518147
USER	Load - Runway	427	START	1730124518151	1730124518151
USER	Load - Runway	428	START	1730124518156	1730124518156
